
# Capture run: 12-00 19:35:56
frame,frame_time_ms,shading_ms,post_ms
262,0.021164,1.979320,0.064392
263,0.020135,1.882328,0.054652
264,0.021068,1.854276,0.072448
265,0.021024,1.866976,0.055900
266,0.021398,1.894116,0.058360
267,0.020250,1.907756,0.058304
268,0.028077,1.915808,0.057392
269,0.020343,1.937556,0.056548
270,0.021191,1.948432,0.055940
271,0.020626,1.935408,0.057948
272,0.021040,1.763524,0.057348
273,0.020875,1.604432,0.055720
274,0.013745,1.504524,0.054352
275,0.020806,1.470616,0.054372
276,0.014040,1.488124,0.062708
277,0.020493,1.558608,0.064944
278,0.014102,1.728876,0.056692
279,0.027803,1.871824,0.054432
280,0.021252,1.920480,0.056712
281,0.020018,1.952972,0.069900
282,0.021435,1.905156,0.060984
283,0.020611,1.887992,0.056428
284,0.020908,1.908284,0.054804
285,0.020999,1.936896,0.060924
286,0.027650,1.904620,0.056320
287,0.020495,1.884460,0.055080
288,0.020880,1.911320,0.070368
289,0.021576,1.949812,0.057428
290,0.019955,1.957196,0.053956
291,0.021227,1.947940,0.062024
292,0.027841,1.949456,0.055280
293,0.020455,1.962760,0.054720
294,0.021000,1.915656,0.059164
295,0.020984,1.911804,0.056040
296,0.020921,1.913776,0.059112
297,0.020779,1.898380,0.054572
298,0.020666,1.841032,0.058556
299,0.021325,1.861956,0.057252
