
# Capture run: %02d-12 00:19:33
frame,frame_time_ms,shading_ms,post_ms
289,0.021075,1.804872,0.058168
290,0.020687,1.792344,0.056044
291,0.020980,1.782828,0.062092
292,0.020325,1.761740,0.055736
293,0.021314,1.762764,0.059840
294,0.020849,1.771340,0.055460
295,0.020986,1.751556,0.056004
296,0.013678,1.704624,0.054424
297,0.020770,1.679980,0.055092
298,0.020942,1.720032,0.058656
299,0.020711,1.760848,0.060768
